org.elasticsearch.rest.action.cat.RestSnapshotAction.buildTable(org.elasticsearch.rest.RestRequest, org.elasticsearch.action.admin.cluster.snapshots.get.GetSnapshotsResponse);SnapshotState
org.elasticsearch.action.admin.cluster.repositories.delete.TransportDeleteRepositoryAction.checkBlock(org.elasticsearch.action.admin.cluster.repositories.delete.DeleteRepositoryRequest, org.elasticsearch.cluster.ClusterState);TransportPutRepositoryAction
org.elasticsearch.action.admin.cluster.tasks.TransportPendingClusterTasksAction.checkBlock(org.elasticsearch.action.admin.cluster.tasks.PendingClusterTasksRequest, org.elasticsearch.cluster.ClusterState);TransportClusterAllocationExplainAction
org.elasticsearch.common.xcontent.XContentHelper.writeRawField(java.lang.String, org.elasticsearch.common.bytes.BytesReference, org.elasticsearch.common.xcontent.XContentType, org.elasticsearch.common.xcontent.XContentBuilder, org.elasticsearch.common.xcontent.ToXContent$Params);XContentBuilder
org.elasticsearch.cluster.routing.ShardRouting.newUnassigned(org.elasticsearch.index.shard.ShardId, boolean, org.elasticsearch.cluster.routing.RecoverySource, org.elasticsearch.cluster.routing.UnassignedInfo);UnassignedInfo
org.elasticsearch.common.xcontent.XContentHelper.writeRawField(java.lang.String, org.elasticsearch.common.bytes.BytesReference, org.elasticsearch.common.xcontent.XContentBuilder, org.elasticsearch.common.xcontent.ToXContent$Params);XContentBuilder
org.elasticsearch.common.xcontent.XContentHelper.toXContent(org.elasticsearch.common.xcontent.ToXContent, org.elasticsearch.common.xcontent.XContentType, boolean);XContentBuilder
org.elasticsearch.common.xcontent.XContentHelper.toXContent(org.elasticsearch.common.xcontent.ToXContent, org.elasticsearch.common.xcontent.XContentType, org.elasticsearch.common.xcontent.ToXContent$Params, boolean);XContentBuilder
org.elasticsearch.search.suggest.term.TermSuggester.TermSuggester();TermSuggestionContext
org.elasticsearch.action.admin.cluster.storedscripts.TransportDeleteStoredScriptAction.checkBlock(org.elasticsearch.action.admin.cluster.storedscripts.DeleteStoredScriptRequest, org.elasticsearch.cluster.ClusterState);TransportPutStoredScriptAction
org.elasticsearch.action.admin.cluster.repositories.verify.TransportVerifyRepositoryAction.checkBlock(org.elasticsearch.action.admin.cluster.repositories.verify.VerifyRepositoryRequest, org.elasticsearch.cluster.ClusterState);TransportGetStoredScriptAction
org.elasticsearch.client.Requests.CONTENT_TYPE;IndexRequest
org.elasticsearch.search.profile.query.QueryTimingType.ADVANCE;ContextIndexSearcher
org.elasticsearch.search.suggest.term.TermSuggester.static {};TermSuggestionContext
org.elasticsearch.search.profile.query.QueryTimingType.SCORE;ContextIndexSearcher
org.elasticsearch.index.query.TermsQueryBuilder.fetch(org.elasticsearch.indices.TermsLookup, org.elasticsearch.client.Client, org.elasticsearch.action.ActionListener);TermsLookup
org.elasticsearch.action.admin.cluster.reroute.TransportClusterRerouteAction.checkBlock(org.elasticsearch.action.admin.cluster.reroute.ClusterRerouteRequest, org.elasticsearch.cluster.ClusterState);TransportCreateIndexAction
org.elasticsearch.search.suggest.term.TermSuggester.INSTANCE;TermSuggestionContext
org.elasticsearch.action.admin.indices.rollover.MaxSizeCondition.name;RolloverRequest
org.elasticsearch.action.admin.indices.rollover.MaxDocsCondition.name;RolloverRequest
org.elasticsearch.search.suggest.Suggest.COMPARATOR;CompletionSuggestion
org.elasticsearch.cluster.metadata.IndexGraveyard.context();MetaData
org.elasticsearch.action.search.SearchTransportService.registerRequestHandler(org.elasticsearch.transport.TransportService, org.elasticsearch.search.SearchService);TransportActionProxy
org.elasticsearch.action.admin.indices.template.get.TransportGetIndexTemplatesAction.checkBlock(org.elasticsearch.action.admin.indices.template.get.GetIndexTemplatesRequest, org.elasticsearch.cluster.ClusterState);TransportIndicesExistsAction
org.elasticsearch.index.fielddata.plain.SortedSetDVOrdinalsIndexFieldData.sortField(java.lang.Object, org.elasticsearch.search.MultiValueMode, org.elasticsearch.index.fielddata.IndexFieldData$XFieldComparatorSource$Nested, boolean);BinaryDVIndexFieldData
org.elasticsearch.action.admin.indices.recovery.TransportRecoveryAction.newResponse(org.elasticsearch.action.admin.indices.recovery.RecoveryRequest, int, int, int, java.util.List, java.util.List, org.elasticsearch.cluster.ClusterState);RecoveryRequest
org.elasticsearch.action.admin.indices.close.CloseIndexClusterStateUpdateRequest.indices();TransportCloseIndexAction
org.elasticsearch.rest.action.admin.cluster.RestListTasksAction.generateListTasksRequest(org.elasticsearch.rest.RestRequest);ListTasksRequest
