Refactoring Type	Source Method	Target Class
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetTelephonyConferencingSipImpl::notifyAll(String, String, Call):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::initRegistrarConnection():void	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.impl.protocol.sip.EventPackageNotifier::createNotify(Dialog, byte[], String, String):ClientTransaction	net.java.sip.communicator.impl.protocol.sip.SipMessageFactory
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::getLocalViaHeaders(SipURI):ArrayList<ViaHeader>	net.java.sip.communicator.impl.protocol.sip.SipStackSharing
Move Method	net.java.sip.communicator.impl.protocol.jabber.InfoRetreiver::load(VCard, Connection, String, long):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.service.protocol.media.AbstractOperationSetTelephonyConferencing::callBegun(CallEvent):void	net.java.sip.communicator.service.protocol.event.CallEvent
Move Method	net.java.sip.communicator.impl.gui.main.call.CallPanel::callWindowPropertyChange(PropertyChangeEvent):void	net.java.sip.communicator.impl.gui.main.call.FullScreenButton
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatPanel::cancelActiveFileTransfers():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.slick.protocol.icq.TestOperationSetBasicInstantMessaging::testReceiveOfflineMessages():void	net.java.sip.communicator.slick.protocol.icq.IcqSlickFixture
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatConversationPanel::openContextMenu(Point):void	net.java.sip.communicator.impl.gui.main.chat.menus.ChatRightButtonMenu
Move Method	net.java.sip.communicator.plugin.sip2sipaccregwizz.CreateSip2SipAccountForm::parseHttpResponse(String):NewAccount	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.presence.GlobalStatusSelectorBox::getItemFromStatus(PresenceStatus):JCheckBoxMenuItem	net.java.sip.communicator.service.protocol.PresenceStatus
