com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_application_options_colors_FontEditorPreview.java/[CN]/	com_intellij_application_options_colors_PreviewPanel.java/[CN]/
com_intellij_application_options_colors_FontEditorPreview$1.java/[CN]/	com_intellij_codeInsight_daemon_impl_TrafficLightRenderer.java/[CN]/
com_intellij_application_options_colors_FontOptions.java/[CN]/	com_intellij_application_options_colors_OptionsPanel.java/[CN]/
com_intellij_application_options_colors_FontOptions$1.java/[CN]/	com_intellij_ui_FontInfoRenderer.java/[CN]/
com_intellij_application_options_colors_NewColorAndFontPanel$2.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_NewColorAndFontPanel$3.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_NewColorAndFontPanel$4.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_OptionsPanelImpl.java/[CN]/	com_intellij_application_options_colors_OptionsPanel.java/[CN]/
com_intellij_application_options_colors_OptionsPanelImpl$1.java/[CN]/	com_intellij_application_options_colors_OptionsPanelImpl$ColorDescriptionPanel$Listener.java/[CN]/
com_intellij_application_options_colors_PreviewPanel$Empty.java/[CN]/	com_intellij_application_options_colors_PreviewPanel.java/[CN]/
com_intellij_application_options_colors_ScopeColorsPageFactory.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactory.java/[CN]/
com_intellij_application_options_colors_ScopeColorsPageFactory$1.java/[CN]/	com_intellij_application_options_colors_PreviewPanel$Empty.java/[CN]/
com_intellij_application_options_colors_SimpleEditorPreview.java/[CN]/	com_intellij_application_options_colors_PreviewPanel.java/[CN]/
com_intellij_application_options_colors_TextAttributesDescription.java/[CN]/	com_intellij_application_options_colors_ColorAndFontDescription.java/[CN]/
com_intellij_application_options_editor_AutoImportOptionsConfigurable.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_AutoImportOptionsConfigurable.java/[CN]/	com_intellij_openapi_options_CompositeConfigurable.java/[CN]/
com_intellij_application_options_editor_AutoImportOptionsTopHitProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase.java/[CN]/
com_intellij_application_options_editor_BaseCodeFoldingOptionsProvider.java/[CN]/	com_intellij_application_options_editor_CodeFoldingOptionsProvider.java/[CN]/
com_intellij_application_options_editor_CodeFoldingConfigurable.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_CodeFoldingConfigurable.java/[CN]/	com_intellij_openapi_options_CompositeConfigurable.java/[CN]/
com_intellij_application_options_editor_CodeFoldingOptionsTopHitProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase$NoPrefix.java/[CN]/
com_intellij_application_options_editor_EditorAppearanceConfigurable.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_EditorAppearanceConfigurable.java/[CN]/	com_intellij_openapi_options_CompositeConfigurable.java/[CN]/
com_intellij_application_options_editor_EditorOptionsTopHitProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase$NoPrefix.java/[CN]/
com_intellij_application_options_editor_EditorOptionsTopHitProviderBase.java/[CN]/	com_intellij_ide_ui_ConfigurableOptionsTopHitProvider.java/[CN]/
com_intellij_application_options_editor_EditorOptionsTopHitProviderBase$NoPrefix.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase.java/[CN]/
com_intellij_application_options_editor_EditorSmartKeysConfigurable.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_EditorSmartKeysConfigurable.java/[CN]/	com_intellij_openapi_options_CompositeConfigurable.java/[CN]/
com_intellij_application_options_editor_EditorSmartKeysOptionsTopHitProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase.java/[CN]/
com_intellij_application_options_editor_EditorTabsConfigurable.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_EditorTabsOptionsTopHitProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsTopHitProviderBase$NoPrefix.java/[CN]/
com_intellij_application_options_editor_JavaAutoImportOptions.java/[CN]/	com_intellij_application_options_editor_AutoImportOptionsProvider.java/[CN]/
com_intellij_application_options_editor_JavaCodeFoldingOptionsProvider.java/[CN]/	com_intellij_application_options_editor_CodeFoldingOptionsProvider.java/[CN]/
com_intellij_application_options_editor_WebEditorOptionsProvider.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_editor_XmlCodeFoldingOptionsProvider.java/[CN]/	com_intellij_application_options_editor_CodeFoldingOptionsProvider.java/[CN]/
com_intellij_application_options_pathMacros_PathMacroTable$AddValidator.java/[CN]/	com_intellij_application_options_pathMacros_PathMacroEditor$Validator.java/[CN]/
com_intellij_application_options_pathMacros_PathMacroTable$EditValidator.java/[CN]/	com_intellij_application_options_pathMacros_PathMacroEditor$Validator.java/[CN]/
com_intellij_codeEditor_JavaEditorFileSwapper.java/[CN]/	com_intellij_openapi_fileEditor_impl_EditorFileSwapper.java/[CN]/
com_intellij_codeEditor_printing_HyperlinksToClassesOption.java/[CN]/	com_intellij_codeEditor_printing_PrintOption.java/[CN]/
com_intellij_codeEditor_printing_MultiFilePainter.java/[CN]/	com_intellij_codeEditor_printing_BasePainter.java/[CN]/
com_intellij_codeEditor_printing_TextPainter.java/[CN]/	com_intellij_codeEditor_printing_BasePainter.java/[CN]/
com_intellij_codeHighlighting_DirtyScopeTrackingHighlightingPassFactory.java/[CN]/	com_intellij_codeHighlighting_TextEditorHighlightingPassFactory.java/[CN]/
com_intellij_codeHighlighting_EditorBoundHighlightingPass.java/[CN]/	com_intellij_codeHighlighting_TextEditorHighlightingPass.java/[CN]/
com_intellij_codeHighlighting_MainHighlightingPassFactory.java/[CN]/	com_intellij_codeHighlighting_TextEditorHighlightingPassFactory.java/[CN]/
com_intellij_codeInsight_BaseExternalAnnotationsManager$5.java/[CN]/	com_intellij_lang_java_parser_JavaParserUtil$ParserWrapper.java/[CN]/
com_intellij_codeInsight_CodeInsightTestData.java/[CN]/	com_intellij_testFramework_PsiTestData.java/[CN]/
com_intellij_codeInsight_CodeInsightUtilBase.java/[CN]/	com_intellij_codeInsight_CodeInsightUtilCore.java/[CN]/
com_intellij_codeInsight_CommentUtil.java/[CN]/	com_intellij_util_codeInsight_CommentUtilCore.java/[CN]/
com_intellij_codeInsight_ExpectedTypeInfoImpl.java/[CN]/	com_intellij_codeInsight_ExpectedTypeInfo.java/[CN]/
com_intellij_codeInsight_ExpectedTypeUtil$ExpectedClassesFromSetProvider.java/[CN]/	com_intellij_codeInsight_ExpectedTypesProvider$ExpectedClassProvider.java/[CN]/
com_intellij_codeInsight_ExpectedTypesProvider$1.java/[CN]/	com_intellij_codeInsight_ExpectedTypesProvider$ExpectedClassProvider.java/[CN]/
com_intellij_codeInsight_ExternalAnnotationsManagerImpl.java/[CN]/	com_intellij_codeInsight_ReadableExternalAnnotationsManager.java/[CN]/
