org_jooq_TableRecord.java/[CN]/	org_jooq_Record.java/[CN]/
org_jooq_TransactionContext.java/[CN]/	org_jooq_Scope.java/[CN]/
org_jooq_Truncate.java/[CN]/	org_jooq_DDLQuery.java/[CN]/
org_jooq_TruncateCascadeStep.java/[CN]/	org_jooq_TruncateFinalStep.java/[CN]/
org_jooq_TruncateFinalStep.java/[CN]/	org_jooq_Truncate.java/[CN]/
org_jooq_TruncateIdentityStep.java/[CN]/	org_jooq_TruncateCascadeStep.java/[CN]/
org_jooq_UDT.java/[CN]/	org_jooq_QueryPart.java/[CN]/
org_jooq_UDTField.java/[CN]/	org_jooq_Field.java/[CN]/
org_jooq_UDTRecord.java/[CN]/	org_jooq_Record.java/[CN]/
org_jooq_UniqueKey.java/[CN]/	org_jooq_Key.java/[CN]/
org_jooq_UpdatableRecord.java/[CN]/	org_jooq_TableRecord.java/[CN]/
org_jooq_Update.java/[CN]/	org_jooq_Query.java/[CN]/
org_jooq_UpdateConditionStep.java/[CN]/	org_jooq_UpdateFinalStep.java/[CN]/
org_jooq_UpdateConditionStep.java/[CN]/	org_jooq_UpdateReturningStep.java/[CN]/
org_jooq_UpdateFinalStep.java/[CN]/	org_jooq_Update.java/[CN]/
org_jooq_UpdateFromStep.java/[CN]/	org_jooq_UpdateWhereStep.java/[CN]/
org_jooq_UpdateQuery.java/[CN]/	org_jooq_ConditionProvider.java/[CN]/
org_jooq_UpdateQuery.java/[CN]/	org_jooq_StoreQuery.java/[CN]/
org_jooq_UpdateQuery.java/[CN]/	org_jooq_Update.java/[CN]/
org_jooq_UpdateResultStep.java/[CN]/	org_jooq_Update.java/[CN]/
org_jooq_UpdateSetFirstStep.java/[CN]/	org_jooq_UpdateSetStep.java/[CN]/
org_jooq_UpdateSetMoreStep.java/[CN]/	org_jooq_UpdateFromStep.java/[CN]/
org_jooq_UpdateSetMoreStep.java/[CN]/	org_jooq_UpdateSetStep.java/[CN]/
org_jooq_UpdateWhereStep.java/[CN]/	org_jooq_UpdateFinalStep.java/[CN]/
org_jooq_UpdateWhereStep.java/[CN]/	org_jooq_UpdateReturningStep.java/[CN]/
