com.google.javascript.jscomp.Es6RenameReferences.renameReference(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.Es6RewriteArrowFunction.visitArrowFunction(com.google.javascript.rhino.Node, com.google.javascript.jscomp.Es6RewriteArrowFunction.ThisContext);ThisContext
com.google.javascript.jscomp.Es6ToEs3ClassSideInheritance.isReferenceToClass(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.Es6ToEs3Converter.initSymbolBefore(com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.jscomp.Es6ToEs3Converter.visitClassMember(com.google.javascript.rhino.Node, com.google.javascript.jscomp.Es6ToEs3Converter.ClassDeclarationMetadata);ClassDeclarationMetadata
com.google.javascript.jscomp.ExpandJqueryAliases.isJqueryExpandedEachCall(com.google.javascript.rhino.Node, java.lang.String);Node
com.google.javascript.jscomp.ExpressionDecomposer.isConstantNameNode(com.google.javascript.rhino.Node, java.util.Set<java.lang.String>);Node
com.google.javascript.jscomp.FunctionArgumentInjector.ReferencedAfterSideEffect.isLocalName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.FunctionRewriter.parseHelperCode(com.google.javascript.jscomp.FunctionRewriter.Reducer);Reducer
com.google.javascript.jscomp.FunctionToBlockMutator.makeLocalNamesUnique(com.google.javascript.rhino.Node, boolean);AbstractCompiler
com.google.javascript.jscomp.FunctionTypeBuilder.isOptionalParameter(com.google.javascript.rhino.Node, com.google.javascript.rhino.JSDocInfo);JSDocInfo
com.google.javascript.jscomp.FunctionTypeBuilder.isVarArgsParameter(com.google.javascript.rhino.Node, com.google.javascript.rhino.JSDocInfo);JSDocInfo
com.google.javascript.jscomp.GatherSideEffectSubexpressionsCallback.processConstructorCall(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.GlobalTypeInfo.CollectNamedTypes.visitNewCtorWithoutFunctionLiteral(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.GlobalTypeInfo.ProcessScope.isStaticCtorProp(com.google.javascript.rhino.Node, com.google.javascript.jscomp.NTIScope);NTIScope
com.google.javascript.jscomp.InlineAliases.AliasesCollector.isPrivate(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.InlineFunctions.Inline.inlineFunction(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.jscomp.InlineFunctions.Reference, com.google.javascript.jscomp.InlineFunctions.FunctionState);FunctionState
com.google.javascript.jscomp.InlineObjectLiterals.InliningBehavior.blacklistVarReferencesInTree(com.google.javascript.rhino.Node, com.google.javascript.jscomp.Scope);Node
com.google.javascript.jscomp.InlineObjectLiterals.InliningBehavior.replaceAssignmentExpression(com.google.javascript.jscomp.Var, com.google.javascript.jscomp.ReferenceCollectingCallback.Reference, java.util.Map<java.lang.String,java.lang.String>);Reference
com.google.javascript.jscomp.InlineVariables.InliningBehavior.maybeEscapedOrModifiedArguments(com.google.javascript.jscomp.Scope, com.google.javascript.jscomp.ReferenceCollectingCallback.ReferenceMap);Scope
com.google.javascript.jscomp.InlineVariables.InliningBehavior.isStringWorthInlining(com.google.javascript.jscomp.Var, java.util.List<com.google.javascript.jscomp.ReferenceCollectingCallback.Reference>);Var
com.google.javascript.jscomp.J2clPass.GetDefineRewriter.isUtilGetDefineCall(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.MustBeReachingVariableDef.dependsOnOuterScopeVars(com.google.javascript.jscomp.MustBeReachingVariableDef.Definition);Definition
com.google.javascript.jscomp.NewTypeInference.isPropertyTestCall(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeMinimizeConditions.replaceNode(com.google.javascript.rhino.Node, com.google.javascript.jscomp.MinimizedCondition.MeasuredNode);MeasuredNode
