CommitId;RefactoringType;RefactoringDetail
0b34f587ee5e19c24b29a9c3e26374607ff05e8f;Move Method;Move Method	public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Attribute;Rename Attribute	quadrosDeDotacao : List<QDMVO> to quadrosDeDotacaoPrevistos : List<QDMPVO> in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Extract Class;Extract Class	br.mil.eb.cds.sisdot.qdmp.modelo.QuadroDotacaoMaterialPrevistoFragmento from class br.mil.eb.cds.sisdot.qdmp.modelo.QuadroDotacaoMaterialPrevisto
2f09d61a1ea8b175cdb1643d2163282d903fb184;Move Attribute;Move Attribute	private itens : List<ItemGenericoQDMP> from class br.mil.eb.cds.sisdot.qdmp.modelo.QuadroDotacaoMaterialPrevisto to class br.mil.eb.cds.sisdot.qdmp.modelo.QuadroDotacaoMaterialPrevistoFragmento
926166bf911b92b9995d4db3c40261e286b5fde3;Rename Method;Rename Method	public ja_existem_Famílias_com_este_Tipo_e_esta_Classe(quantidade int) : void renamed to public ja_existem_Famílias_Ativas_com_este_Tipo_e_esta_Classe(quantidade int) : void in class br.mil.eb.cds.sisdot.servico.cucumber.familia_material.cadastro.FamiliaMaterialCadastroSpec
bc09e23a29438ae58ecd2c6ae9e07b611c8ddce1;Move And Rename Class;Move And Rename Class	br.mil.eb.cds.sisdot.servico.cucumber.tipo_material.cadastro.TipoMaterialCadastroRunner moved and renamed to br.mil.eb.cds.sisdot.qdm.servico.gerar.GerarQdmRunner
e81e142f872e50384680256640626296f9623ed6;Extract Method;Extract Method	private gerarNormasDotacaoChamadorEstruturaOrganizacional(chamador Chamador) : void extracted from private gerarNormasDotacao(chamador Chamador) : void in class br.mil.eb.cds.sisdot.chamador.servico.ChamadorServicoImpl
f5fbb29a9f319cb6bea54b75144dc77bfb2e40a4;Rename Variable;Rename Variable	familiaMaterial : List<FamiliaMaterial> to familiasMaterial : List<FamiliaMaterial> in method protected checarAntesDeExcluir(entidade ClasseMaterial) : void in class br.mil.eb.cds.sisdot.servico.ClasseMaterialServicoImpl
8bf0805e1a0888163b63d2348cb7265de6418b88;Replace Variable With Attribute;Replace Variable With Attribute	vo : NormaDotacaoVO to normaDotacaoSelecionada : NormaDotacaoVO in method public atualizarNorma() : void in class br.mil.eb.cds.sisdot.beans.normaDatacao.NormaDotacaoMB
c6cd804e9432d7359e80dfdbe290e10fe6777d38;Extract Method;Extract Method	private found(paragraph XWPFParagraph, searchText String, found boolean) : boolean extracted from public replace(paragraph XWPFParagraph, searchText String, replacement V) : void in class br.mil.eb.cds.sisdot.relatorio.helper.TextReplaceHelper
36cf679516a8c1623ee72ae7b8051dfbe40a6e93;Extract Method;Extract Method	private documento(adicionarTextoRestrito Boolean, existeSubItens Boolean, dados List<RelatorioIgCabecalhoGrid>) : XWPFDocument extracted from public criarRelatorio(adicionarTextoRestrito Boolean, existeSubItens Boolean, dados List<RelatorioIgCabecalhoGrid>) : Relatorio in class br.mil.eb.cds.sisdot.relatorio.helper.GerarRelatorioIGDocx
