CommitId;RefactoringType;RefactoringDetail
8fb077aa194d5d126b9d73e30133a13620bb2e80;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisbol.boletim.servico.ServicoContextualizado from classes [br.mil.eb.cds.sisbol.boletim.servico.CategoriaServico]
8fb077aa194d5d126b9d73e30133a13620bb2e80;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisbol.boletim.resources.ResourceContextualizado from classes [br.mil.eb.cds.sisbol.boletim.resources.CategoriaResource]
fbebe427cb914e76c0b3af676cc0cbc662823ba8;Rename Method;Rename Method	public adicionarLinhaVazia(number int) : void renamed to public adicionarQuebraLinha(number int) : void in class br.mil.eb.cds.sisbol.comum.impressao.DocumentoMilitar
eb674371d8e0c7dee9c54b83f6e35d598d916154;Rename Variable;Rename Variable	idOM : String to codigoOM : String in method protected checarAntesDeSalvar(workflow Workflow) : void in class br.mil.eb.cds.sisbol.boletim.servico.WorkflowServico
564c597361987648f035408e43807a4463071597;Extract And Move Method;Extract And Move Method	public getCodom(token String) : String extracted from public getFuncoesMilitar(token String, identidade String) : List<Funcao> in class br.mil.eb.cds.sisbol.boletim.resources.FuncaoResource & moved to class br.mil.eb.cds.sisbol.boletim.security.AuthServico
3a2e1dd01485870a2415a33bb9d2946cf93c9389;Move Attribute;Move Attribute	package auth : AuthServico from class br.mil.eb.cds.sisbol.boletim.resources.RequestFilter to class br.mil.eb.cds.sisbol.boletim.resources.FuncaoResource
f41be9a5235ecff22d0092eac655332739d776cb;Move Class;Move Class	br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.DocumentoMilitar moved to br.mil.eb.cds.sisbol.comum.impressao.DocumentoMilitar
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private fileName(nome String) : String from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private fileName(nome String) : String from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private contextoOm(om OrganizacaoMilitar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private contextoOm(om OrganizacaoMilitar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private dataImpressao(m Militar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private dataImpressao(m Militar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private infoMilitar(m Militar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private infoMilitar(m Militar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private localizacao(om OrganizacaoMilitar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private localizacao(om OrganizacaoMilitar) : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
f41be9a5235ecff22d0092eac655332739d776cb;Move Method;Move Method	private assinatura() : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao to private assinatura() : void from class br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
2333255ea0ccbb9f4ae5e361eb4a1fea8f983b4a;Move And Rename Class;Move And Rename Class	br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.NovaFichaIdentificacao.Header moved and renamed to br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.DocumentoMilitar.CabecalhoEvent
2333255ea0ccbb9f4ae5e361eb4a1fea8f983b4a;Rename Class;Rename Class	br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.Documento renamed to br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.DocumentoMilitar
2333255ea0ccbb9f4ae5e361eb4a1fea8f983b4a;Rename Variable;Rename Variable	boletimPDF : File to ficha : File in method public impressaoPDF(idMilitar String) : Response in class br.mil.eb.cds.sisbol.boletim.resources.MilitarResource
d62803e34dd07537108106898b42825209803e29;Rename Class;Rename Class	br.mil.eb.cds.sisbol.boletim.security.AuthHelper renamed to br.mil.eb.cds.sisbol.boletim.security.AuthServico
0f83b117be3fc68766cc82c508ff47ce370501a5;Extract Variable;Extract Variable	militar : Militar in method public authUser(requisicao UserCredentials) : TokenResponse from class br.mil.eb.cds.sisbol.boletim.resources.UsuarioResource
5873c3b5e97df8de07478c9eed11189b159fe429;Rename Variable;Rename Variable	boletimPDF : File to fichaPDF : File in method public impressaoPDF(identidadeMilitar String) : Response in class br.mil.eb.cds.sisbol.boletim.resources.MilitarResource
e57e6417732e1d3ae68d4ae2cf0e0afe9cb972d8;Move Class;Move Class	br.mil.eb.cds.sisbol.boletim.servico.impressao.FichaIdentificacao moved to br.mil.eb.cds.sisbol.rhquadro.modelo.impressao.FichaIdentificacao
b073b1ea6221e24f7a942f86d43169fcc4712662;Rename Method;Rename Method	public getMilitaresOMApiTodos(codigo String) : String renamed to public getMilitaresPorOm(codigo String) : List<Militar> in class br.mil.eb.cds.sisbol.boletim.resources.MilitarResource
55496eba584d718cf9f3b5de1d9bacb2337bece9;Rename Variable;Rename Variable	token : TokenResponse to tokenResponse : TokenResponse in method public authUser(requisicao UserCredentials) : TokenResponse in class br.mil.eb.cds.sisbol.boletim.resources.UsuarioResource
f382b63f38c35c72ee06ab607ad08a385428cfa5;Move Source Folder;Move Source Folder	sisbol-core/src/test to test-core
f382b63f38c35c72ee06ab607ad08a385428cfa5;Move Source Folder;Move Source Folder	sisbol-web/src/test to test-web
f382b63f38c35c72ee06ab607ad08a385428cfa5;Rename Variable;Rename Variable	militar : Militar to m : Militar in method package cadastrarMilitar(nome String, postoGraduacao PostoGraduacao, secao Secao, qualificacaoMilitar QualificacaoMilitar, om OrganizacaoMilitar) : Militar in class br.mil.eb.cds.sisbol.util.helpers.MilitarTestHelper
64bf4b320e9025a6b20b2b5cb83689522b99275a;Move Attribute;Move Attribute	private militarServico : MilitarServico from class br.mil.eb.cds.sisbol.boletim.security.AuthHelper to class br.mil.eb.cds.sisbol.boletim.resources.UsuarioResource
debcadc05bb5cc66e2aaf6d7ab2c0436711ddc05;Rename Parameter;Rename Parameter	codigo : String to idMilitar : String in method public verificaCamposFixos(idMilitar String) : List<String> in class br.mil.eb.cds.sisbol.boletim.servico.MilitarServico
